Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (INR),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases
1,55,Male,Blouse,Clothing,2915,Delhi,L,Gray,Winter,3.1,Yes,Express,Yes,Yes,14,GooglePay,Fortnightly
2,19,Male,Sweater,Clothing,3520,Mumbai,L,Maroon,Winter,3.1,Yes,Express,Yes,Yes,2,Cash,Fortnightly
3,50,Male,Jeans,Clothing,4015,Kolkata,S,Maroon,Spring,3.1,Yes,Free Shipping,Yes,Yes,23,Credit Card,Weekly
4,21,Male,Sandals,Footwear,4950,Bangalore,M,Maroon,Spring,3.5,Yes,Next Day Air,Yes,Yes,49,PhonPe,Weekly
5,45,Male,Blouse,Clothing,2695,Chandigarh,M,Turquoise,Spring,2.7,Yes,Free Shipping,Yes,Yes,31,PhonPe,Annually
6,46,Male,Sneakers,Footwear,1100,Nagpur,M,White,Summer,2.9,Yes,Standard,Yes,Yes,14,GooglePay,Weekly
7,63,Male,Shirt,Clothing,4675,Ahmedabad,M,Gray,Fall,3.2,Yes,Free Shipping,Yes,Yes,49,Cash,Quarterly
8,27,Male,Shorts,Clothing,1870,Lucknow,L,Charcoal,Winter,3.2,Yes,Free Shipping,Yes,Yes,19,Credit Card,Weekly
9,26,Male,Coat,Outerwear,5335,Ranchi,L,Silver,Summer,2.6,Yes,Express,Yes,Yes,8,GooglePay,Annually
10,57,Male,Handbag,Accessories,1705,Mussoorie,M,Pink,Spring,4.8,Yes,2-Day Shipping,Yes,Yes,4,Cash,Quarterly
11,53,Male,Shoes,Footwear,1870,Gurgaon,L,Purple,Fall,4.1,Yes,Store Pickup,Yes,Yes,26,Bank Transfer,Bi-Weekly
12,30,Male,Shorts,Clothing,3740,Raipur,S,Olive,Winter,4.9,Yes,Store Pickup,Yes,Yes,10,Bank Transfer,Fortnightly
13,61,Male,Coat,Outerwear,3960,Chennai,M,Gold,Winter,4.5,Yes,Express,Yes,Yes,37,GooglePay,Fortnightly
14,65,Male,Dress,Clothing,2805,Hyderabad,M,Violet,Spring,4.7,Yes,Express,Yes,Yes,31,PhonPe,Weekly
15,64,Male,Coat,Outerwear,2915,Chandrapur,L,Teal,Winter,4.7,Yes,Free Shipping,Yes,Yes,34,Debit Card,Weekly
16,64,Male,Skirt,Clothing,4455,Bangalore,M,Teal,Winter,2.8,Yes,Store Pickup,Yes,Yes,8,PhonPe,Monthly
17,25,Male,Sunglasses,Accessories,1980,Nellore,S,Gray,Spring,4.1,Yes,Next Day Air,Yes,Yes,44,Debit Card,Bi-Weekly
18,53,Male,Dress,Clothing,2090,Indore,XL,Lavender,Winter,4.7,Yes,2-Day Shipping,Yes,Yes,36,GooglePay,Quarterly
19,52,Male,Sweater,Clothing,2640,Ahmedabad,S,Black,Summer,4.6,Yes,Free Shipping,Yes,Yes,17,Cash,Weekly
20,66,Male,Pants,Clothing,4950,Bangalore,M,Green,Summer,3.3,Yes,Standard,Yes,Yes,46,Debit Card,Bi-Weekly
21,21,Male,Pants,Clothing,2805,Lucknow,M,Black,Winter,2.8,Yes,Express,Yes,Yes,50,Cash,Every 3 Months
22,31,Male,Pants,Clothing,3410,Udaipur,M,Charcoal,Winter,4.1,Yes,Store Pickup,Yes,Yes,22,Debit Card,Quarterly
23,56,Male,Pants,Clothing,2035,Vadodara,M,Peach,Summer,3.2,Yes,Store Pickup,Yes,Yes,32,Debit Card,Annually
24,31,Male,Pants,Clothing,4840,Surat,XL,White,Winter,4.4,Yes,Express,Yes,Yes,40,Credit Card,Weekly
25,18,Male,Jacket,Outerwear,1210,Ghaziabad,M,Green,Fall,2.9,Yes,Store Pickup,Yes,Yes,16,Debit Card,Weekly
26,18,Male,Hoodie,Clothing,1375,Amritsar,M,Silver,Summer,3.6,Yes,Express,Yes,Yes,14,PhonPe,Annually
27,38,Male,Jewelry,Accessories,1100,Srinagar,M,Red,Spring,3.6,Yes,Next Day Air,Yes,Yes,13,Credit Card,Annually
28,56,Male,Shorts,Clothing,3080,Delhi,L,Cyan,Summer,5,Yes,Next Day Air,Yes,Yes,7,Bank Transfer,Every 3 Months
29,54,Male,Handbag,Accessories,5170,Udaipur,M,Gray,Fall,4.4,Yes,Free Shipping,Yes,Yes,41,PhonPe,Every 3 Months
30,31,Male,Dress,Clothing,2640,Nagpur,S,Black,Fall,4.1,Yes,Store Pickup,Yes,Yes,14,Credit Card,Weekly
31,57,Male,Jewelry,Accessories,1705,Udaipur,L,Black,Winter,4.7,Yes,Standard,Yes,Yes,16,Credit Card,Monthly
32,33,Male,Dress,Clothing,4345,Ranchi,L,Brown,Winter,4.7,Yes,Store Pickup,Yes,Yes,45,GooglePay,Monthly
33,36,Male,Jacket,Outerwear,3685,Varanasi,M,Silver,Summer,4.9,Yes,Free Shipping,Yes,Yes,37,GooglePay,Annually
34,54,Male,Pants,Clothing,2090,Dhanbad,L,Green,Summer,3.3,Yes,Store Pickup,Yes,Yes,45,Cash,Quarterly
35,36,Male,T-shirt,Clothing,5005,Bhubaneswar,L,Violet,Spring,4.6,Yes,2-Day Shipping,Yes,Yes,38,PhonPe,Quarterly
36,54,Male,Blouse,Clothing,1815,Kolkata,M,Cyan,Summer,4,Yes,2-Day Shipping,Yes,Yes,48,Credit Card,Bi-Weekly
